label,isomap,,
10,-0.179180702,0.386050648,-0.811133665
10,-0.202372147,0.281121495,-0.938344262
10,-0.20216956,0.223560446,-0.917607372
10,-0.178082966,0.242592704,-0.887874761
10,-0.13276719,0.182964124,-0.890474174
10,-0.180365598,0.169506964,-0.85589322
11,-0.173178488,0.249173952,-0.917315303
11,-0.166483711,0.571962617,-0.596083356
11,-0.209528633,0.408082605,-0.762845919
11,-0.28750795,0.31238167,-0.707446296
11,-0.203382724,0.632830871,-0.525393928
11,-0.306447434,0.372634911,-0.633330899
12,-0.128270241,0.664847754,-0.523936504
12,-0.162867777,0.700904432,-0.469877477
12,-0.176257332,0.708803135,-0.475517327
12,-0.191943653,0.633554417,-0.55783209
12,-0.200817413,0.377039494,-0.908757685
12,-0.300040046,0.075577329,-0.873767834
12,-0.283055758,0.047145011,-0.872015421
13,-0.224729688,0.504853784,-0.59173153
13,-0.234340769,0.539704552,-0.58394439
13,-0.274245601,0.406563159,-0.721690495
13,-0.301853902,0.125444679,-0.793183113
17,-0.240324138,0.160102804,-0.828064898
17,-0.321641422,0.087455532,-0.645594871
17,-0.286047443,0.134814591,-0.799112111
17,-0.296035429,0.09807959,-0.779044059
18,-0.279710725,0.284422671,-0.70390058
18,-0.591434831,0.274694001,-0.259254932
26,-0.175995854,0.670786856,-0.525093097
49,0.187006195,0.587910763,-0.742211253
49,0.093086146,0.547241483,-0.800844079
49,0.15344986,0.626801326,-0.720288564
49,0.03650232,0.297853482,-0.925405611
49,0.094546654,0.218905638,-0.933963229
49,-0.02303126,0.129228218,-0.883815004
50,0.080360887,0.217998191,-0.949033982
50,0.1963982,0.572746458,-0.68825153
50,0.166318815,0.6218571,-0.721632081
50,0.224849827,0.640850166,-0.616674212
50,0.190685732,0.664425686,-0.744144749
50,0.080584674,0.285287911,-0.942520846
51,0.244905891,0.70370817,-0.540411525
51,0.274057148,0.638800121,-0.645892782
51,0.276459918,0.56795297,-0.728784847
51,0.264351841,0.3621224,-0.836050061
51,0.241518457,0.264727163,-0.883347693
51,0.214414266,0.237573108,-0.875257386
52,0.189408966,0.349966838,-0.853673496
52,0.166636828,0.266539041,-0.895643793
53,0.204694825,0.120753693,-0.558294581
53,0.287719959,0.115318058,-0.389117514
53,0.251301501,0.070406994,-0.311605357
58,0.240194577,0.650075369,-0.608984038
1001,-0.734399661,0.231474224,-0.322438191
1001,-0.764952534,0.086183298,-0.346387838
1001,-0.747991802,-0.044262888,-0.401983148
1001,-0.740807048,-0.065010552,-0.486288827
1002,-0.090191044,0.429580947,-0.861004425
1002,-0.019627335,0.785408502,-0.493537976
1002,-0.049928152,0.589689478,-0.693058983
1003,-0.299969376,0.54715104,-0.648013202
1003,-0.283833125,0.502050045,-0.752816274
1003,-0.234411439,0.519535725,-0.718098048
1003,-0.223810982,0.502653,-0.781541247
1003,-0.269180938,0.472535424,-0.8207807
1003,-0.273161999,0.452200784,-0.843862903
1003,-0.201257921,0.398667471,-0.872453525
1003,-0.214468446,0.330512511,-0.889627174
1005,0.012663966,-0.644889961,-0.709946405
1005,0.054886811,-0.506210431,-0.774928808
1005,0.004038539,-0.794271932,-0.39376433
1006,-0.311276531,0.237567079,-0.69406078
1006,-0.37146357,0.156074163,-0.607955956
1007,-0.398671409,0.103949352,-0.630036363
1007,-0.528491673,0.030283389,-0.500661536
1007,-0.646368755,-0.054039795,-0.40356324
1007,-0.731690655,-0.231082303,-0.249558246
1007,-0.710583967,-0.30835092,-0.136527593
1007,-0.601352147,-0.759119686,0.023730596
1007,-0.660408471,-0.56701839,0.041868072
1007,-0.534357259,-0.813023817,0.02481125
1007,-0.2842807,-1,0.038392453
1007,-0.242491343,-0.945131143,-0.143887729
1008,-0.485006242,-0.423696111,-0.58480833
1008,-0.376457563,-0.335393428,-0.6841392
1008,-0.398129608,-0.383056979,-0.659389284
1008,-0.558196509,-0.313928248,-0.58679323
1008,-0.351063579,-0.308803135,-0.723092425
1008,-0.290852983,-0.222490202,-0.784873753
1008,-0.330922711,-0.354657823,-0.699995619
1008,-0.338931945,-0.433494121,-0.670435329
1008,-0.230618831,-0.188272535,-0.819539407
1008,-0.209125816,-0.311998794,-0.776637411
1008,-0.311040965,-0.410642147,-0.693146604
1008,-0.369696827,-0.522460054,-0.592613578
1008,-0.179915667,-0.332861019,-0.767273683
1008,-0.169781631,-0.313747362,-0.784739402
1009,-0.643871758,0.015779319,-0.356610249
1009,-0.570775718,0.017066626,-0.494309038
1009,-0.653553509,-0.033720229,-0.406177257
1009,-0.730819062,-0.446608381,-0.113278911
1009,-0.595580787,-0.65113054,-0.362238416
1009,-0.73536548,-0.283418752,-0.247250902
1009,-0.796000094,-0.667440458,0.16179155
1009,-0.661232951,-0.690473319,-0.066869168
1010,-0.200640739,-0.127350015,-0.79465806
1011,-0.496313397,-0.571932469,-0.503114914
1011,-0.45431203,-0.655170335,-0.481262322
1011,-0.482603472,-0.806843533,-0.308658382
1011,-0.437657535,-0.757913778,-0.397692656
1011,-0.096954135,-0.871510401,-0.385127853
1011,-0.164731102,-0.873500151,-0.362816712
1011,-0.041287602,-0.808019295,-0.5153526
1011,-0.037739983,-0.814139282,-0.465262789
1011,0.029922263,-0.726650588,-0.618441228
1011,-0.008363761,-0.792342478,-0.523647356
1011,0.120833431,-0.39020199,-0.823245761
1011,0.138529128,-0.664305095,-0.613677585
1011,0.06225295,-0.593518239,-0.731480643
1011,0.126355092,-0.723454929,-0.580544124
1012,-0.182026336,0.760627073,-0.353712926
1012,-0.090287626,0.690985831,-0.460224601
1012,-0.256130598,0.789659331,-0.185449129
1012,-0.331228946,0.807506783,-0.140236868
1012,-0.234482109,0.789810069,-0.208931466
1012,-0.277967539,0.798794091,-0.168888824
1013,-0.029674213,-0.981971661,0.110212188
1013,-0.033226544,-0.790955683,-0.527391679
1013,-0.044587878,-0.847904733,-0.251953211
1014,0.091599727,0.873922219,-0.288415088
1014,0.055117665,0.872897196,-0.243454006
1014,-0.081696544,0.797678625,-0.255750106
1014,0.270617889,0.919626168,0.145143625
1014,0.150651339,0.880403979,-0.335286301
1015,-0.774681397,-0.055951161,-0.37336916
1015,-0.777178394,0.056044619,-0.056500723
1015,-0.774916963,0.022092252,-0.059947136
1015,-0.851805611,-0.139855291,0.070666063
1015,-0.697486514,0.10993669,-0.198796676
1015,-0.97382865,-0.28450407,0.191699403
1015,-1,-0.282484172,0.076741096
1015,-0.893477185,0.116433524,-0.245235627
1015,-0.977715484,-0.102411818,0.088511471
1015,-0.750889261,0.228230329,-0.325119383
1015,-0.481873219,-0.487579138,-0.562893526
1016,-0.313325952,0.096514923,-0.678496429
1016,-0.331629408,0.078278565,-0.628926501
1017,-0.09806365,0.285845644,-0.966616528
1017,-0.112689925,0.257735906,-0.940096675
1018,-0.43294622,0.569460356,-0.526725762
1018,-0.463734659,0.482333434,-0.592175475
1018,-0.4773268,0.708923726,-0.178410269
1018,-0.464724035,0.616340066,-0.397120201
1018,-0.507950343,0.488785047,-0.492136046
1018,-0.453581777,0.474977389,-0.581316939
1019,-0.343125015,0.801115466,-0.139798765
1019,-0.461143436,0.79801025,-0.094936986
1020,-0.533297213,0.760144709,-0.100836777
1020,-0.440342984,0.783961411,-0.118039634
1020,-0.457091706,0.776364185,-0.150021175
1020,-0.299733811,0.596623455,1
1020,-0.437162847,0.787066626,-0.082494852
1021,0.017047655,-0.614681942,-0.750821444
1021,-0.001977339,-0.70835092,-0.633827417
1022,-0.64090363,0.079276455,-0.610584576
1022,-0.606134131,0.07377751,-0.69028725
1022,-0.21028951,0.178126017,-0.91255458
1022,-0.772043061,-0.006246608,-0.559160098
1022,-0.655108242,0.053958396,-0.613446851
1022,-0.564462557,0.002236961,-0.737205193
1022,-0.517844103,0.035595418,-0.778538779
1022,-0.496784528,-0.040223093,-0.757734714
1022,-0.39103908,-0.021148628,-0.776529346
1022,-0.277943982,0.116587278,-0.872891628
1022,-0.30152411,-0.000844136,-0.823485258
1023,-0.098751502,0.362776605,-0.933525125
1023,-0.088610398,0.322086222,-0.96106722
1023,-0.080485736,0.249933675,-0.993983381
1024,-0.192252244,0.233271028,-0.917841027
1024,-0.556641775,0.358857401,-0.560864319
1024,-0.575133684,0.223141393,-0.618695328
1024,-0.414524982,0.435845644,-0.694054938
1024,-0.544086123,0.392031957,-0.515346759
1024,-0.57021036,0.175903527,-0.654003534
1024,-0.527737862,0.13430208,-0.71111176
1024,-0.469411792,0.387030449,-0.659383443
1024,-0.53414525,0.035450708,-0.772317713
1024,-0.174971143,0.268411215,-0.910276443
1024,-0.256955078,0.152454628,-0.900404515
1025,-0.083750677,0.21165511,-0.990040452
1025,-0.278532897,-0.103337353,-0.838199687
1025,-0.095389979,-0.173470003,-0.892869139
1025,-0.029080587,-0.311003919,-0.820839114
1025,-0.055211891,-0.189026229,-0.932853367
1025,-0.056128242,0.134392523,-0.956043635
1025,-0.154184825,-0.005758215,-0.960833565
1025,-0.169103201,-0.388061501,-0.59826219
1026,-0.061112812,0.80835092,-0.393968778
1026,0.032664248,0.910943624,-0.156183828
1026,-0.028359756,0.844980404,-0.414518744
1027,-0.050479376,0.716038589,-0.504180966
1027,-0.192553768,0.903527284,-0.032142179
1027,-0.177819133,0.864877902,-0.105977189
1027,-0.088782361,0.857793187,-0.254990727
1027,-0.278768462,0.794724148,-0.245089592
1027,-0.319497774,0.697648478,-0.424650613
1027,-0.322348119,0.595839614,-0.577761876
1028,0.117321147,0.925414531,-0.444560947
1028,0.110741796,0.904612602,-0.474457117
1028,-0.030307884,0.583810672,-0.685117631
1028,-0.097253304,0.553602653,-0.690482936
1028,-0.026376293,0.553150437,-0.723699928
1028,-0.170787496,0.525444679,-0.731080509
1028,-0.200292101,0.43894483,-0.853877944
1028,-0.140842383,0.365890865,-0.882208625
1028,-0.174968788,0.301670184,-0.908290375
1028,0.062064498,0.896171239,-0.305962586
1028,0.068196273,0.884624661,-0.397643004
1028,0.010048527,0.605336147,-0.698652102
1028,-0.063508516,0.519143805,-0.76348555
1028,-0.091232244,0.501175761,-0.79113571
1028,-0.067060847,0.378878505,-0.900813412
1028,-0.049532402,0.341986735,-0.913051097
1028,-0.05189277,0.3102653,-0.916439096
1029,-0.331228946,-0.045305999,-0.807812842
1029,-0.270123201,0.001814893,-0.872015421
1029,-0.325316247,-0.042692192,-0.795616046
1029,-0.263197569,-0.069593006,-0.843462769
1029,-0.177666015,-0.219354839,-0.814851702
1029,-0.221714447,0.061064215,-0.885041693
1029,-0.094322866,0.087114863,-0.90063817
1029,-0.099724388,-0.310883328,-0.796089198
1029,-0.123775647,0.051887248,-0.87887904
1029,-0.153850322,-0.093608683,-0.86170539
1029,-0.057640574,-0.316249623,-0.790539889
1029,-0.017653294,-0.258757914,-0.826341691
1029,0.029607312,-0.264485981,-0.849698439
1030,-0.559963252,0.325984323,-0.281104604
1030,-0.373348095,0.382176666,-0.458515998
1030,-0.549339238,0.315592403,-0.262584517
1030,-0.280747214,0.438209225,-0.582273172
1030,-0.779934513,-0.029198071,0.717102093
1030,-0.393017832,0.350021103,-0.480981936
1030,-0.998869285,-0.10986132,-0.20148371
1030,-0.967303479,-0.155321073,0.018473356
1030,-0.967868837,-0.045372324,-0.167545307
1030,-0.948458222,-0.162616822,0.106269258
1030,-0.926739064,0.005592403,-0.214363947
1031,-0.653600622,0.050624058,-0.620225769
1031,-0.730347931,0.031438046,-0.587972312
1031,-0.733692964,0.050892373,-0.567488062
1031,-0.883630539,-0.01244498,-0.398542576
1031,-0.664554427,0.090871269,-0.571791696
1031,-0.627005253,-0.109264396,-0.703401142
1031,-0.639843584,-0.14305095,-0.665052499
1031,-0.743563167,-0.106801326,-0.541048819
1031,-0.647829262,-0.265360265,-0.537059159
1031,-0.554191892,-0.083816702,-0.732505805
1031,-0.468281077,-0.079107627,-0.76607328
1031,-0.387411368,-0.173861923,-0.747813134
1033,-0.301712563,0.280539644,-0.646363012
1034,-0.718216296,-0.117708773,-0.752559253
1034,-0.63197569,-0.066231535,-0.789687048
1035,-0.518668583,0.766807356,-0.120346978
1035,-0.417516666,0.765088936,-0.207646363
1035,-0.422392876,0.645703949,-0.081560232
1035,-0.539751714,0.697135966,-0.154752691
1035,-0.6180302,0.45039192,-0.308360471
1035,-0.722008904,-0.024558336,-0.756350307
1035,-0.573154932,0.006563159,-0.802386203
1035,-0.451391016,0.002945433,-0.792914409
2001,0.733575181,0.128384082,-0.645466361
2001,0.825375138,0.083946337,-0.563062926
2001,0.79135945,0.076276756,-0.589987879
2002,0.153534663,0.897588182,-0.536762709
2003,0.271960613,0.764425686,-0.603425968
2003,0.526560034,0.658034368,-0.61272252
2003,0.467597936,0.530087428,-0.664786717
2003,0.516996066,0.407313838,-0.727391679
2005,0.110306,-0.551763642,-0.694206814
2005,0.063294151,-0.439674405,-0.796836894
2005,0.150363949,-0.550557733,-0.730458402
2006,0.525617771,0.465441664,-0.27671773
2006,0.549621917,0.562827856,0.040495349
2006,0.567948929,0.270817003,-0.104137156
2007,0.407552237,0.265520048,-0.350771792
2007,0.362888978,0.19004281,-0.375714473
2007,0.449082472,0.160507085,-0.249032522
2007,0.74697887,-0.407567079,0.145669349
2007,0.771124355,-0.239855291,-0.082085956
2007,0.770158536,-0.443081097,-0.018502563
2007,0.261124591,-0.958154959,0.067832995
2007,0.835575134,-0.580826048,0.128437286
2008,0.398270948,0.072294242,-0.854958599
2008,0.578620056,0.043482062,-0.803195233
2008,0.499116629,-0.028754899,-0.804118171
2008,0.573178488,-0.217184203,-0.680847584
2008,0.352335634,-0.024130238,-0.8428319
2008,0.287555063,-0.264877902,-0.801492472
2008,0.460483852,-0.53271028,-0.536044511
2008,0.329391534,-0.467832379,-0.674866013
2008,0.435443217,-0.15113054,-0.799249383
2008,0.581658854,-0.24012662,-0.635363699
2009,0.463239971,0.278043413,-0.289998102
2009,0.742903583,0.092845945,-0.130949078
2009,0.677675438,-0.386855592,-0.419965828
2009,0.470236272,0.213629786,-0.275987558
2009,0.613530894,0.317217365,-0.146574762
2009,0.596687946,0.224886946,-0.143478832
2009,0.596428824,0.191434127,-0.13515487
2009,0.798332195,0.013352427,-0.104721293
2009,0.824621328,-0.07609587,-0.032259007
2009,0.855268427,-0.101664154,-0.031178352
2009,0.806388542,-0.391106421,-0.017889218
2009,0.776613036,-0.437051553,-0.133402456
2010,-0.067725142,-0.014615617,-0.997546621
2010,-0.050505288,-0.031281278,-1
2011,0.218955973,-0.540850166,-0.709265885
2011,0.216383595,-0.305185409,-0.893803759
2011,0.381333773,-0.783720229,-0.487673233
2011,0.67711008,-0.542689177,-0.219884049
2011,0.703658335,-0.485921013,-0.235655768
2011,0.635815411,-0.623032861,-0.221198359
2011,0.465148053,-0.804823636,-0.34083853
2011,0.487573909,-0.683147422,-0.476241658
2011,0.5226732,-0.824329213,-0.23600625
2012,0.301429884,0.707084715,-0.565323539
2012,0.32048715,0.764003618,-0.493161207
2012,0.397399355,0.781640036,-0.350237306
2012,0.332406775,0.785890865,-0.416239029
2012,0.41914207,0.782454025,-0.290474174
2012,0.467951285,0.802140488,-0.285979234
2013,0.070000707,-0.478504673,-0.489089767
2013,0.103900968,-0.550346699,-0.71399448
2013,0.159567501,-0.634247814,-0.392102458
2013,0.110591034,-0.565782333,-0.695074259
2013,0.120974771,-0.600934579,-0.641120376
2013,0.133619938,-0.633192644,-0.603241964
2013,0.176933406,-0.691287308,-0.42022869
2013,0.286188782,-0.794995478,-0.420973466
2014,0.14550894,0.8615918,-0.361774026
2014,0.218145627,0.858456437,-0.255253589
2014,0.27452828,0.825836599,-0.341294157
2014,0.298320416,0.871872174,-0.118506944
2015,0.573249158,0.34039192,-0.196022022
2015,0.728581188,0.464121194,-0.141551178
2015,0.832512779,0.378341875,-0.13036494
2015,1,0.21550196,-0.037370212
2015,0.885939083,0.276065722,-0.257531726
2015,0.951520577,0.261805849,-0.178293442
2015,0.876893359,0.196212541,-0.383463061
2015,0.907611128,0.172701839,-0.268566088
2015,0.972533038,0.024268918,-0.047855484
2015,0.872182045,0.103623756,-0.492060108
2015,0.710159949,0.062366596,-0.570329892
2015,0.996042496,-0.094703045,-0.078581129
2015,0.663141033,-0.185589388,-0.491140091
2015,0.790346517,-0.368254447,-0.312691853
2016,0.161018586,-0.298341875,-0.380609548
2017,-0.05468658,0.295260778,-0.922163646
2017,-0.09489058,0.251034067,-0.917665786
2017,-0.01059339,0.229641242,-0.936621055
2017,0.051720808,0.171047935,-0.918775647
2018,0.610185861,0.194219475,-0.779084948
2018,0.575816824,0.457386192,-0.613143099
2018,0.585922593,0.174531203,-0.837165764
2019,0.392970719,0.764094061,-0.502326329
2019,0.478952204,0.73801628,-0.390390934
2020,0.505264894,0.645975279,-0.524076697
2020,0.51772632,0.597708773,-0.56496079
2020,0.547548939,0.76358155,-0.435106678
2020,0.548538315,0.763129334,-0.434674416
2020,0.578643613,0.757310823,-0.399042014
2021,0.098301571,-0.513656919,-0.759688655
2021,0.120150291,-0.593186614,-0.670724477
2021,0.248038915,-0.696864637,-0.621364838
2022,0.124649596,0.215960205,-0.893774552
2022,0.198355751,0.251730479,-0.884136279
2022,0.588136911,0.093207718,-0.811162872
2022,0.582177098,0.097729876,-0.813476058
2022,0.475065369,0.294082002,-0.806355419
2022,0.569150314,0.192167923,-0.820193642
2022,0.745801041,-0.038583057,-0.643842458
2022,0.711102212,0.084030751,-0.772852199
2023,-0.086007397,0.357006331,-0.953911532
2023,-0.058045747,0.283189629,-0.940680813
2023,-0.03984594,0.107895689,-0.986243556
2024,0.122720313,0.313849864,-0.901426756
2024,0.205408589,0.250901417,-0.867634388
2024,0.159270689,0.328914682,-0.876162799
2024,0.321712092,0.270910461,-0.839423456
2024,0.271654378,0.279047332,-0.849047125
2024,0.637016796,0.256394332,-0.736612293
2024,0.534498598,0.146411818,-0.872482731
2024,0.516218699,0.094085017,-0.886735692
2024,0.473863984,0.316092855,-0.833605444
2024,0.685025088,0.188191438,-0.709791609
2024,0.349485289,0.255471812,-0.838564774
2024,0.402746696,0.174890564,-0.848512639
2025,-0.003622058,0.113711185,-0.948566672
2025,-0.045360533,0.100581851,-0.922601749
2025,-0.055063485,-0.042264094,-0.989222659
2025,-0.04619208,-0.00821224,-0.992172554
2025,-0.04708723,-0.107962014,-0.969157527
2025,0.007835622,-0.153964426,-0.946901879
2025,-0.105446279,-0.05655713,-0.978854214
2025,-0.064486113,-0.103687067,-0.997459001
2026,0.186419637,0.966415436,-0.375419484
2026,0.241143907,0.995116069,-0.231391562
2026,0.186622223,1,-0.337681265
2027,0.190871829,0.793849864,-0.488625378
2027,0.271442369,0.890533615,-0.435130044
2027,0.289792938,0.941995779,-0.442753041
2027,0.21448258,0.853843835,-0.444505454
2027,0.30399755,0.883569491,-0.503120756
2027,0.306376764,0.921103407,-0.448130029
2027,0.332642341,0.925595418,-0.388857573
2027,0.387434925,0.920048236,-0.411221286
2027,0.277237285,0.840156768,-0.553429035
2027,0.38128666,0.825866747,-0.488736364
2027,0.372429389,0.786554115,-0.550442046
2027,0.411156392,0.676454628,-0.615666574
2027,0.405479258,0.769158879,-0.549483476
2027,0.470683847,0.630690383,-0.607526615
2028,0.056886764,0.915465782,-0.418990318
2028,0.136496196,0.940036177,-0.434820451
2028,0.161810087,0.733403678,-0.618429546
2028,0.183430308,0.797196262,-0.592312747
2028,0.139657487,0.697497739,-0.660271332
2028,0.091679819,0.643864938,-0.681209749
2028,0.204362677,0.721947543,-0.643559151
2028,0.220157358,0.640850166,-0.699870029
2028,-0.017271678,0.33523666,-0.894767586
2028,0.109224753,0.329415134,-0.881478453
2028,0.125405762,0.957732891,-0.28324839
2028,0.148658453,0.916912873,-0.461524307
2028,0.153824409,0.896141091,-0.502732304
2028,-0.064344774,0.475520048,-0.876892971
2028,-0.093406516,0.404344287,-0.906683996
2028,-0.060413182,0.366195357,-0.921813164
2029,0.083029846,0.100756708,-0.882121004
2029,0.013812113,0.093804643,-0.888984623
2029,0.223205578,0.005100995,-0.876162799
2029,0.264469624,-0.127268616,-0.847063978
2029,0.339874208,0.139665662,-0.875140558
2029,0.366281124,0.132242991,-0.8621727
2029,0.309486231,-0.037274646,-0.856010047
2029,0.084999176,0.028326801,-0.889013829
2029,0.113681656,-0.12052457,-0.877389488
2029,0.255588796,-0.258486584,-0.806618281
2029,0.021203741,-0.29430208,-0.833532427
2029,0.07786389,-0.299517636,-0.822512668
2029,0.198221479,-0.34344287,-0.773047885
2029,0.141723399,-0.291076274,-0.809305314
2030,0.502909237,0.704853784,-0.164653825
2030,0.339944878,0.740639132,-0.54109555
2030,0.573885185,0.603105216,-0.166610687
2030,0.597677322,0.577962014,-0.1683631
2030,0.697698523,0.605215556,-0.086963506
2030,0.937009729,0.434606572,-0.074930269
2030,0.879743705,0.396529997,-0.243833696
2030,0.874231467,0.384579439,-0.310258919
2030,0.977267909,0.395881821,-0.09987295
2030,0.807542814,0.095589388,-0.736550959
2030,0.835363125,0.071109436,-0.694040335
2030,0.878141858,0.081507386,-0.551473049
2031,0.668488375,0.115079891,-0.80869489
2031,0.413394266,0.12271631,-0.875111351
2031,0.435278321,0.09827555,-0.868773457
2031,0.57687687,0.087135966,-0.822159265
2031,0.570681492,0.080048236,-0.811691517
2031,0.640715177,0.114697015,-0.810499876
2031,0.537113378,0.080880314,-0.849055887
2031,0.587218205,0.058438348,-0.799377893
2031,0.743092036,0.062508291,-0.690406998
2032,0.090485501,0.692734399,-0.534710925
2033,0.444912958,0.473560446,-0.431461659
2033,0.472003015,0.43775098,-0.352515443
2033,0.572660244,0.496201387,-0.174146064
2035,0.525641328,0.734428701,-0.360623275
2035,0.464936044,0.400696412,-0.681276925
2035,0.513391911,0.794181489,-0.193773092
2035,0.86040376,-0.030527585,-0.626338771
2035,0.733268945,-0.021338559,-0.665484761
2035,0.652941038,0.140052156,-0.843196986